Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM"
Israel’s occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM"
Countries must stop funding Israel’s military actions: Pandor,"31 January 2024, 6:28 PM"
ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM"
ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM"
Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM"
DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM"
ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM"
SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM"
ICJ to deliver judgment in SA-Israel case on Friday,"24 January 2024, 7:52 PM"
UN Chief urges end to Israel’s occupation,"24 January 2024, 10:02 AM"
Gift of the Givers commends SA’s ICJ case against Israel,"13 January 2024, 7:20 PM"
‘SA taking Israel to ICJ a significant move for a developing country’,"13 January 2024, 11:32 AM"
SA case against Israel is to stop suffering of Palestinians: Lamola,"11 January 2024, 1:50 PM"
Bo-Kaap prayer service in support of SA’s legal action against Israel,"10 January 2024, 9:26 PM"
SA has strong legal case against Israel: Ramaphosa,"10 January 2024, 6:12 AM"
"SA’s case to stop genocide by Israel is robust, principled: Lamola","7 January 2024, 2:01 PM"
Palestine solidarity vigils in Cape Town set to continue indefinitely,"3 January 2024, 9:12 PM"
"Israeli tanks, missiles strike Gaza in offensive against Hamas","29 December 2023, 7:58 AM"
Free Palestine delegation calls for global action in support of Gaza,"28 December 2023, 4:48 PM"
ANC president to meet with Pro-Palestine parties on Monday,"18 December 2023, 12:04 PM"
Israeli drone strike in Syria killed three Hezbollah members: sources,"9 December 2023, 11:03 AM"
U.S. unlikely to rethink weapons supplies to Israel,"6 December 2023, 6:39 AM"
Israel intensifies southern Gaza offensive,"5 December 2023, 6:47 AM"
Anti-apartheid movement to be launched in solidarity with Palestine,"4 December 2023, 1:41 PM"
Israeli forces lead offensive across Gaza Strip as tensions build,"4 December 2023, 7:16 AM"
Ramaphosa concerned about ending of Israel/Hamas truce,"1 December 2023, 5:55 PM"
Mbalula denies ANC ultimatum claim by PA over Israel support,"23 November 2023, 8:15 PM"
Patriotic Alliance will not boycott Israeli products: Mckenzie,"22 November 2023, 9:05 PM"
Malema praises ANC for supporting Israeli embassy closure motion,"22 November 2023, 7:53 AM"
National Assembly passes motion to close Israeli Embassy in SA,"21 November 2023, 9:21 PM"
Parliament to vote on EFF’s Israeli Embassy motion,"21 November 2023, 10:56 AM"
Israel’s Foreign Ministry recalls its Ambassador to SA,"21 November 2023, 12:18 AM"
"Multi-faith clergy unite, advocate for closure of Israeli Embassy","19 November 2023, 9:46 PM"
"Malema calls for boycott, divestment and sanctions against Israel","16 November 2023, 7:10 PM"
ANC welcomes referral of Israel to the ICC,"16 November 2023, 12:30 PM"
SA files referral for ICC investigation into Israel’s attacks on Gaza,"15 November 2023, 8:05 PM"
Calm restored at pro-Palestine march in Cape Town,"12 November 2023, 4:14 PM"
We need to put pressure on Israel to stop the killings – Mashatile,"12 November 2023, 1:51 AM"
Al Jama-ah supports govt’s proposal to stop sale of arms to Israel,"8 November 2023, 8:22 AM"
Minister Pandor says Israeli PM should be prosecuted at ICC,"7 November 2023, 8:00 PM"
Over 10 000 Palestinians killed in Israeli assault: Health officials,"7 November 2023, 5:57 PM"
